10bl	A	Q4E2L0	PF00069	1
10bl	B	Q4E2L0	PF00069	1
10dj	A	P06241	PF07714	1
10dj	B	P06241	PF07714	1
10hm	A	Q382U0	PF00069	1
10hm	B	Q382U0	PF00069	1
10hm	C	Q382U0	PF00069	1
10hm	D	Q382U0	PF00069	1
10hm	E	Q382U0	PF00069	1
10hm	F	Q382U0	PF00069	1
10hm	G	Q382U0	PF00069	1
10hm	H	Q382U0	PF00069	1
10hm	I	Q382U0	PF00069	1
10hm	J	Q382U0	PF00069	1
10hm	K	Q382U0	PF00069	1
10hm	L	Q382U0	PF00069	1
10hm	M	Q382U0	PF00069	1
10hm	N	Q382U0	PF00069	1
10hm	O	Q382U0	PF00069	1
10hm	P	Q382U0	PF00069	1
10hy	A	O14757	PF00069	1
10hz	A	O14757	PF00069	1
10ia	A	O14757	PF00069	1
10ju	A	Q582V7	PF00069	1
10ju	B	Q582V7	PF00069	1
10oo	A	P21802	PF07714	1
10oo	B	P21802	PF07714	1
10oq	A	P21802	PF07714	1
10oq	B	P21802	PF07714	1
10ou	A	P21802	PF07714	1
10ou	B	P21802	PF07714	1
10pi	A	P23458	PF07714	1
10pi	B	P23458	PF07714	1
10pj	A	O60674	PF07714	1
10pj	B	O60674	PF07714	1
10sl	A	Q4E2L0	PF00069	1
10sl	B	Q4E2L0	PF00069	1
11gy	A	P06493	PF00069	1
11hq	A	P08581	PF07714	1
11hq	B	P08581	PF07714	1
11hq	C	P08581	PF07714	1
11oy	A	Q16539	PF00069	1
11uc	A	P68400	PF00069	1
11ue	A	P09619	PF07714	1
12fj	AAA	P10721	PF07714	0.821
12ob	A	Q4E2L0	PF00069	1
12ob	B	Q4E2L0	PF00069	1
12oc	A	Q4E2L0	PF00069	1
12oc	B	Q4E2L0	PF00069	1
12pl	A	Q4E2L0	PF00069	1
12pl	B	Q4E2L0	PF00069	1
12sa	A	Q8TG13	PF00069	1
12sa	B	Q8TG13	PF00069	1
12sa	C	Q8TG13	PF00069	1
12sa	D	Q8TG13	PF00069	1
12sa	E	Q8TG13	PF00069	1
12sa	F	Q8TG13	PF00069	1
13bv	A	Q99570	PF00069	1
13lv	A	Q99640	PF00069	1
13lw	A	Q99640	PF00069	1
13lx	A	Q99640	PF00069	1
1a06	A	Q63450	PF00069	1
1a9u	A	Q16539	PF00069	1
1ad5	A	P08631	PF07714	0.96
1ad5	B	P08631	PF07714	0.96
1agw	A	P11362	PF07714	1
1agw	B	P11362	PF07714	1
1apm	E	P05132	PF00069	1
1aq1	A	P24941	PF00069	1
1atp	E	P05132	PF00069	1
1b38	A	P24941	PF00069	1
1b39	A	P24941	PF00069	1
1b6c	B	P36897	PF00069	1
1b6c	D	P36897	PF00069	1
1b6c	F	P36897	PF00069	1
1b6c	H	P36897	PF00069	1
1bi7	A	Q00534	PF00069	1
1bi8	A	Q00534	PF00069	1
1bi8	C	Q00534	PF00069	1
1bkx	A	P05132	PF00069	1
1bl6	A	Q16539	PF00069	1
1bl7	A	Q16539	PF00069	1
1blx	A	Q00534	PF00069	1
1bmk	A	Q16539	PF00069	1
1buh	A	P24941	PF00069	1
1bx6	A	P05132	PF00069	1
1byg	A	P41240	PF07714	1
1cdk	A	P36887	PF00069	1
1cdk	B	P36887	PF00069	1
1cki	A	Q06486	PF00069	1
1cki	B	Q06486	PF00069	1
1ckj	A	Q06486	PF00069	1
